product_id,price,currency,interval,stripe_price_id
prod_U37BOrYBTkiWyi,29.99,USD,month,price_1T50x8Do5o1YgZszWXoficqV
prod_U37Bs3KZYvdmtB,79.98,USD,month,price_1T50x9Do5o1YgZszfybp2X1P
prod_U37B60DtCYrKg2,199.99,USD,month,price_1T50xADo5o1YgZsz4GBQ0b0A
prod_TzQudorQFSUHnK,2999.00,USD,month,price_1T1S2TDo5o1YgZszgnZEL7lB
prod_TzQuYVuoiYCnnG,4999.00,USD,month,price_1T1S2UDo5o1YgZszm6U5PlOA
prod_U37BS0t9MrjTEf,300.00,USD,one_time,price_1T50xBDo5o1YgZszjypklCRW
prod_U37B4uv5oPrYOX,450.00,USD,one_time,price_1T50xCDo5o1YgZsze68Radt8
prod_U37BwqQG67JuBl,700.00,USD,one_time,price_1T50xDDo5o1YgZszLgjM53zT
prod_U37BN4UEz8bOfh,1500.00,USD,one_time,price_1T50xEDo5o1YgZszyGhwKgdt
prod_U37BXiNJQjYlrT,3000.00,USD,one_time,price_1T50xFDo5o1YgZszAiN3HVWC
prod_U37BqSTI0yy2xz,5000.00,USD,one_time,price_1T50xGDo5o1YgZszJBIf7V5R
prod_U37BbSq3YSPNqd,800.00,USD,one_time,price_1T50xHDo5o1YgZszNu37ly8z
prod_U37BwJvKIH7Ztz,600.00,USD,one_time,price_1T50xIDo5o1YgZszrGEpYLFy
prod_U37BYgfvvM0xCg,250.00,USD,month,price_1T50xIDo5o1YgZsz2hLUkVvy
prod_U37BgGge6nANpi,1999.00,USD,one_time,price_1T50xJDo5o1YgZszLn53RRee
prod_U37BUSOF7EyRBH,4499.00,USD,one_time,price_1T50xKDo5o1YgZszy3gnjYpj
prod_U37Bq4DNHKoO1d,400.00,USD,month,price_1T50xLDo5o1YgZszyFpi56Re
prod_U8zR1TluMwksTn,999.00,USD,month,price_1TAhSCDo5o1YgZszuDGdVGLu
prod_U8zRHMkk9Vxl31,2499.00,USD,month,price_1TAhSDDo5o1YgZszVOwTYZ6F
prod_U8zR4I38TIge2L,4999.00,USD,one_time,price_1TAhSEDo5o1YgZszoyOx2fSt
prod_U8zRjgQgf0ynxB,7500.00,USD,one_time,price_1TAhSFDo5o1YgZszNtEDLww3
