id,name,description,category,image_url,checkout_url
prod_U37BOrYBTkiWyi,Jarvis 3.5 Basic Monthly,"Launch your startup with lean AI firepower. Includes up to 5,000 API calls/month, 1 GB secure data storage, and access to core Jarvis features.",subscription,/assets/products/matrix_01.svg,https://buy.stripe.com/dRm00jg25aw120i5hh8so00
prod_U37Bs3KZYvdmtB,Jarvis 3.5 Custom Monthly,"Tailored automation for growing teams. Includes 25,000 API calls/month, 10 GB data storage, custom dashboard branding, and priority support.",subscription,/assets/products/matrix_02.svg,https://buy.stripe.com/6oUeVdcPTeMheN46ll8so01
prod_U37B60DtCYrKg2,Jarvis 3.5 Premium Monthly,"Full-stack AI orchestration for scale. Includes 100,000 API calls/month, 50 GB data storage, dedicated onboarding, conversion funnel templates, and early access to all new tools.",subscription,/assets/products/matrix_03.svg,https://buy.stripe.com/5kQcN5aHLdIdbAS4dd8so02
prod_TzQudorQFSUHnK,TitanForge Basic,"Basic automation package - $2,999/month",subscription,/assets/products/matrix_04.svg,https://checkout.realmstoriches.xyz/b/prod_titan_basic
prod_TzQuYVuoiYCnnG,TitanForge Pro,"Pro automation package - $4,999/month",subscription,/assets/products/matrix_05.svg,https://checkout.realmstoriches.xyz/b/prod_titan_pro
prod_U37BS0t9MrjTEf,Business Management Consultation,"Strategic guidance to streamline your business operations and growth.",service,/assets/products/matrix_06.svg,https://buy.stripe.com/00w8wP7vzcE97kC3998so03
prod_U37B4uv5oPrYOX,Basic Brand Kit,"Essential branding elements including logo design, color palette, and typography.",service,/assets/products/matrix_07.svg,https://buy.stripe.com/fZu4gz9DH8nT5cugZZ8so04
prod_U37BwqQG67JuBl,Marketing Campaign Management,"Expert setup and initial management of your marketing campaign (ad spend not included).",service,/assets/products/matrix_08.svg,https://buy.stripe.com/4gMfZhcPTfQl20i8tt8so05
prod_U37BN4UEz8bOfh,Website Design (Basic),"Professional, responsive website design for small businesses.",service,/assets/products/matrix_09.svg,https://buy.stripe.com/00wdR95nrfQldJ0dNN8so06
prod_U37BXiNJQjYlrT,Website Design (Advanced),"Advanced website design with custom features and integrations for growing businesses.",service,/assets/products/matrix_10.svg,https://buy.stripe.com/aFa28r8zD5bHeN4dNN8so07
prod_U37BqSTI0yy2xz,E-commerce Website Development,"Full-featured online store development with payment gateway integration.",service,/assets/products/matrix_01.svg,https://buy.stripe.com/bJe4gz9DH33z5cu2558so08
prod_U37BbSq3YSPNqd,SEO Optimization Package,"Comprehensive search engine optimization to improve your online visibility.",service,/assets/products/matrix_02.svg,https://buy.stripe.com/5kQ4gzcPTbA57kCcJJ8so09
prod_U37BwJvKIH7Ztz,Social Media Management,"Professional management of your social media presence to engage your audience.",service,/assets/products/matrix_03.svg,https://buy.stripe.com/28E00jaHLgUp20i5hh8so0a
prod_U37BYgfvvM0xCg,Realms to Riches Elite Support,"Priority support, monthly strategic coaching, and a curated library of resources.",subscription,/assets/products/matrix_04.svg,https://buy.stripe.com/eVqbJ13fj5bH48q9xx8so0b
prod_U37BgGge6nANpi,Startup Accelerator Bundle,"Strategic guidance, essential branding, and a professional basic website.",service,/assets/products/matrix_05.svg,https://buy.stripe.com/28E6oHbLP33z6gyaBB8so0c
prod_U37BUSOF7EyRBH,Digital Domination Package,"Advanced website, comprehensive marketing, and robust SEO/social media strategies.",service,/assets/products/matrix_06.svg,https://buy.stripe.com/eVqeVd17b5bHfR87pp8so0d
prod_U37Bq4DNHKoO1d,Digital Growth Monthly,"Continuous optimization, monthly reports, and strategic adjustments.",subscription,/assets/products/matrix_07.svg,https://buy.stripe.com/7sY7sLeY1aw1cEWcJJ8so0e
